type_id,type_name,100-90,90-80,80-70,70-60,60-50,50-40,40-30,30-20,20-10,10-0
11,剧情,681,712,712,712,713,713,712,712,712,680
24,喜剧,507,531,531,531,531,531,531,531,531,506
5,动作,306,320,320,320,321,321,320,320,320,305
13,爱情,378,395,396,395,395,395,395,396,395,377
17,科幻,135,141,141,141,141,141,141,141,141,134
25,动画,112,117,118,117,117,117,117,118,117,111
10,悬疑,189,197,198,197,197,197,197,198,197,188
19,惊悚,289,302,303,303,303,303,303,303,302,288
20,恐怖,212,222,221,222,222,222,222,221,222,211
1,纪录片,138,144,145,144,144,144,144,145,144,137
23,短片,210,220,220,220,219,219,220,220,220,209
6,情色,60,63,62,63,62,62,63,62,63,59
26,同性,87,91,91,91,91,91,91,91,91,86
14,音乐,58,60,60,60,60,60,60,60,60,57
7,歌舞,41,43,42,43,42,42,43,42,43,40
28,家庭,131,137,138,137,137,137,137,138,137,130
8,儿童,23,24,24,24,24,24,24,24,24,22
2,传记,94,98,98,98,98,98,98,98,98,93
4,历史,99,103,102,103,103,103,103,102,103,98
22,战争,90,94,94,95,94,94,95,94,94,89
3,犯罪,282,296,295,295,295,295,295,295,296,281
27,西部,21,21,21,21,21,21,21,21,21,20
16,奇幻,160,166,167,167,167,167,167,167,166,159
15,冒险,190,198,198,198,198,198,198,198,198,188
12,灾难,16,17,16,16,16,16,16,16,17,15
29,武侠,33,35,34,34,35,35,34,34,35,32
30,古装,59,62,61,61,61,61,61,61,62,58
18,运动,38,39,39,40,40,40,40,39,39,37
31,黑色电影,10,10,11,10,10,10,10,11,10,9
